id,user_id,created_at,updated_at,start,end,timezone_offset,sport_id,score_state,score.strain,score.average_heart_rate,score.max_heart_rate,score.kilojoule,score.percent_recorded,score.distance_meter,score.altitude_gain_meter,score.altitude_change_meter,score.zone_duration.zone_zero_milli,score.zone_duration.zone_one_milli,score.zone_duration.zone_two_milli,score.zone_duration.zone_three_milli,score.zone_duration.zone_four_milli,score.zone_duration.zone_five_milli,score
562505060,96842,2022-12-09T03:19:06.347Z,2022-12-09T03:19:11.787Z,2022-12-09T02:20:35.403Z,2022-12-09T02:38:39.760Z,-06:00,0,SCORED,8.1635,147.0,179.0,852.2381,100.0,0.0,0.0,0.0,0.0,6728.0,256712.0,500840.0,315309.0,4807.0,
561293203,96842,2022-12-07T02:50:27.428Z,2022-12-07T02:50:33.107Z,2022-12-07T01:44:30.177Z,2022-12-07T02:25:24.386Z,-06:00,0,SCORED,13.3936,157.0,178.0,2323.1833,100.0,0.0,0.0,0.0,0.0,27917.0,12497.0,796925.0,1616909.0,0.0,
560031026,96842,2022-12-05T00:05:26.515Z,2022-12-05T00:05:32.185Z,2022-12-04T22:57:44.235Z,2022-12-04T23:36:26.745Z,-06:00,0,SCORED,13.6125,159.0,185.0,2247.6323,100.0,0.0,0.0,0.0,0.0,23110.0,121123.0,503729.0,1585203.0,89384.0,
557128321,96842,2022-11-30T01:01:51.782Z,2022-11-30T01:01:57.821Z,2022-11-29T23:41:23.965Z,2022-11-30T00:36:27.958Z,-06:00,0,SCORED,14.4588,155.0,180.0,2983.2085,100.0,0.0,0.0,0.0,0.0,23110.0,283587.0,1062234.0,1921642.0,13459.0,
556505382,96842,2022-11-29T00:58:05.739Z,2022-11-29T00:58:11.473Z,2022-11-29T00:07:20.790Z,2022-11-29T00:33:06.562Z,-06:00,0,SCORED,10.247,148.0,183.0,1253.6354,100.0,0.0,0.0,0.0,9652.0,33645.0,426822.0,307617.0,731542.0,36532.0,
555798159,96842,2022-11-27T18:47:17.758Z,2022-11-27T18:47:23.732Z,2022-11-27T17:13:43.950Z,2022-11-27T18:15:10.485Z,-05:00,0,SCORED,12.0369,134.0,178.0,2306.886,100.0,0.0,0.0,0.0,203797.0,399904.0,920001.0,1584164.0,578708.0,0.0,
554775416,96842,2022-11-25T23:10:51.457Z,2022-11-25T23:10:57.151Z,2022-11-25T21:59:59.132Z,2022-11-25T22:40:21.618Z,-05:00,0,SCORED,11.6225,144.0,182.0,1855.8077,100.0,0.0,0.0,0.0,24071.0,89399.0,695030.0,790179.0,818079.0,5768.0,
553080910,96842,2022-11-23T02:10:09.515Z,2022-11-23T02:10:15.171Z,2022-11-23T01:08:04.772Z,2022-11-23T01:42:19.077Z,-06:00,0,SCORED,12.4139,151.0,186.0,1768.2473,100.0,0.0,0.0,0.0,0.0,251903.0,235520.0,334534.0,1105491.0,126896.0,
551836405,96842,2022-11-20T23:22:03.211Z,2022-11-20T23:22:09.119Z,2022-11-20T22:03:53.147Z,2022-11-20T22:51:52.272Z,-06:00,0,SCORED,15.0872,165.0,186.0,2944.1143,100.0,0.0,0.0,0.0,17342.0,11536.0,21149.0,358568.0,2176404.0,294165.0,
551304842,96842,2022-11-20T00:30:50.678Z,2022-11-20T00:30:56.382Z,2022-11-19T23:24:25.035Z,2022-11-20T00:00:45.285Z,-06:00,0,SCORED,9.5176,134.0,176.0,1339.2462,100.0,0.0,0.0,0.0,263438.0,250903.0,204758.0,1008413.0,452777.0,0.0,
